ImageName,EnlacmentGlobalValue,EnlacmentLocallValue,Class
a,212.016,215.145,CHASEDB1
b,214.508,217.316,CHASEDB1
c,201.498,207.486,CHASEDB1
d,193.433,205.681,CHASEDB1
e,219.931,226.818,CHASEDB1
f,202.635,212.953,CHASEDB1
g,183.889,189.521,CHASEDB1
h,182.637,189.558,CHASEDB1
i,199.348,202.507,CHASEDB1
j,187.521,194.687,CHASEDB1
k,199.327,205.78,CHASEDB1
l,196.118,200.93,CHASEDB1
m,208.601,220.703,CHASEDB1
n,196.084,206.291,CHASEDB1
o,203.731,212.017,CHASEDB1
p,205.009,212.822,CHASEDB1
q,169.344,179.854,CHASEDB1
r,159.155,165.667,CHASEDB1
s,204.451,209.355,CHASEDB1
t,202.508,210.007,CHASEDB1
u,276.317,276.973,DRIVE
v,243.337,247.761,DRIVE
w,208.725,207.847,DRIVE
x,256.663,259.152,DRIVE
y,269.034,269.608,DRIVE
z,280.733,283.701,DRIVE
za,233.938,237.824,DRIVE
zb,273.177,276.945,DRIVE
zc,254.821,258.476,DRIVE
zd,268.549,269.809,DRIVE
ze,205.849,208.082,DRIVE
zf,254.761,261.532,DRIVE
zg,265.961,267.055,DRIVE
zh,161.749,165.742,DRIVE
zi,252.788,255.219,DRIVE
zj,272.235,277.399,DRIVE
zk,270.23,270.819,DRIVE
zl,244.885,245.191,DRIVE
zm,269.436,273.786,DRIVE
zn,284.8,284,DRIVE
