ImageName,EnlacmentGlobalValue,EnlacmentLocallValue,Class
a,231.898,241.81,CHASEDB1
b,226.709,232.744,CHASEDB1
c,217.963,222.297,CHASEDB1
d,214.453,229.081,CHASEDB1
e,230.724,236.723,CHASEDB1
f,218.051,229.764,CHASEDB1
g,205.159,219.502,CHASEDB1
h,203.115,227.911,CHASEDB1
i,222.035,229.306,CHASEDB1
j,204.993,215.298,CHASEDB1
k,208.787,222.279,CHASEDB1
l,219.79,229.402,CHASEDB1
m,230.76,252.824,CHASEDB1
n,200.846,215.217,CHASEDB1
o,209.338,226.07,CHASEDB1
p,228.406,234.715,CHASEDB1
q,210.55,224.681,CHASEDB1
r,204.753,226.608,CHASEDB1
s,227.222,239.921,CHASEDB1
t,221.559,238.949,CHASEDB1
u,276.032,283.22,DRIVE
v,235.983,246.561,DRIVE
w,204.239,211.034,DRIVE
x,258.226,263.462,DRIVE
y,261.871,271.592,DRIVE
z,276.275,287.506,DRIVE
za,242.982,256.416,DRIVE
zb,271.84,279.818,DRIVE
zc,273.504,275.676,DRIVE
zd,271.349,273.161,DRIVE
ze,217.736,232.135,DRIVE
zf,247.346,258.84,DRIVE
zg,265.047,269.548,DRIVE
zh,186.374,194.824,DRIVE
zi,265.328,270.912,DRIVE
zj,279.328,288.166,DRIVE
zk,256.984,261.344,DRIVE
zl,247.783,250.551,DRIVE
zm,263.141,274.818,DRIVE
zn,277.363,287.569,DRIVE
,231.898,241.81,
