166.681,168.549
169.062,170.047
159.619,163.048
171.040,177.799
176.961,179.991
176.485,180.857
163.413,167.134
168.139,173.738
163.896,165.919
167.418,170.893
167.788,170.279
168.571,171.189
168.927,174.463
167.990,171.621
165.082,168.549
162.774,164.795
160.758,167.106
154.937,161.125
163.188,166.879
176.340,179.531
197.168,197.632
172.751,175.099
177.611,180.590
169.238,170.551
186.893,186.811
197.807,199.966
168.696,171.248
189.756,192.669
183.189,184.336
189.311,190.090
179.948,180.082
187.134,188.969
188.297,189.339
125.363,128.091
184.151,185.062
189.034,190.613
191.703,192.641
178.385,180.049
186.027,186.539
198.116,197.686
