205.431,206.918
207.832,209.226
201.898,204.867
202.648,206.705
211.175,214.213
203.437,207.339
198.300,201.821
203.818,208.856
201.964,206.537
206.327,208.816
200.490,202.476
200.581,203.077
202.587,205.606
199.991,203.402
199.224,203.187
200.313,203.218
196.538,203.107
194.414,198.680
203.707,205.681
197.691,201.118
222.012,223.735
201.381,202.145
211.426,213.538
193.061,194.282
205.088,205.919
225.134,227.249
195.275,198.860
212.010,213.537
206.760,208.038
216.336,217.849
204.737,205.107
214.486,215.765
212.598,213.519
167.190,168.803
207.907,209.328
207.853,209.062
217.327,217.688
200.717,201.868
209.982,212.583
223.290,224.341
