174.700,177.356
154.612,155.904
164.266,168.503
150.032,158.065
169.099,173.678
176.436,183.175
153.104,157.272
160.873,168.074
153.437,156.178
150.625,156.805
140.152,145.432
149.982,153.017
147.597,155.482
156.856,162.698
159.643,164.926
154.468,158.935
117.996,125.634
108.254,114.420
131.196,134.286
145.342,149.835
210.629,211.775
209.589,213.012
162.298,162.051
197.441,199.482
243.677,243.977
224.013,226.044
171.982,175.215
217.234,219.552
208.352,210.681
193.813,194.617
144.844,146.832
161.475,165.934
218.940,219.213
114.270,117.427
198.170,199.611
212.982,216.841
242.113,243.696
193.219,193.677
209.863,211.802
253.395,253.564
