ImageName,EnlacmentGlobalValue,EnlacmentLocallValue,Class
a,216.312,217.648,CHASEDB1
b,220.536,224.456,CHASEDB1
c,228.685,230.66,CHASEDB1
d,234.171,238.705,CHASEDB1
e,230.629,233.818,CHASEDB1
f,238.364,241.69,CHASEDB1
g,216.934,219.319,CHASEDB1
h,212.547,213.215,CHASEDB1
i,226.738,228.468,CHASEDB1
j,228.159,231.722,CHASEDB1
k,229.985,232.802,CHASEDB1
l,238.461,238.924,CHASEDB1
m,227.246,229.999,CHASEDB1
n,222.583,227.076,CHASEDB1
o,247.761,248.111,CHASEDB1
p,245.859,246.054,CHASEDB1
q,203.306,209.044,CHASEDB1
r,193.35,197.424,CHASEDB1
s,234.946,237.926,CHASEDB1
t,221.341,222.861,CHASEDB1
u,245.833,247.951,DRIVE
v,237.993,239.596,DRIVE
w,217.164,217.681,DRIVE
x,235.011,236.531,DRIVE
y,226.673,228.329,DRIVE
z,242.311,242.843,DRIVE
za,232.79,234.395,DRIVE
zb,250.086,251.578,DRIVE
zc,235.478,236.389,DRIVE
zd,231.382,233.493,DRIVE
ze,223.134,226.36,DRIVE
zf,232.431,232.436,DRIVE
zg,227.013,229.846,DRIVE
zh,211.036,213.3,DRIVE
zi,239.627,241.781,DRIVE
zj,242.07,244.046,DRIVE
zk,243.39,244.423,DRIVE
zl,237.226,238.226,DRIVE
zm,239.333,240.461,DRIVE
zn,246.955,247.682,DRIVE
